S,compile_s,kv_mb,n_spans,run,wall_us,dma_n,dma_us,stotrf_n,stotrf_us,task_n,task_us,tuexec_n,tuexec_us
1024,0.9,16.78,24,0,425.2,6,86.56,3,0.62,1,90.01,14,12.94
1024,0.9,16.78,24,1,597.6,6,87.75,3,0.61,1,91.19,14,12.94
1024,0.9,16.78,24,2,350.3,6,87.37,3,0.6,1,90.82,14,12.95
2048,0.8,33.55,34,0,384.3,12,194.85,5,1.29,1,178.88,16,23.19
2048,0.8,33.55,34,1,510.9,12,194.91,5,1.29,1,178.66,16,23.2
2048,0.8,33.55,34,2,395.0,12,194.75,5,1.29,1,178.79,16,23.19
4096,1.0,67.11,58,0,691.6,20,395.38,9,2.32,1,361.8,28,45.74
4096,1.0,67.11,58,1,728.2,20,394.58,9,2.32,1,361.24,28,45.75
4096,1.0,67.11,58,2,698.6,20,394.52,9,2.32,1,361.17,28,45.73
8192,3.6,134.22,106,0,1367.5,36,984.95,17,4.1,1,939.85,52,90.78
8192,3.6,134.22,106,1,1412.9,36,985.84,17,4.1,1,940.6,52,90.78
8192,3.6,134.22,106,2,1369.4,36,985.53,17,4.1,1,940.33,52,90.78
16384,11.4,268.44,204,0,2455.1,66,1878.42,33,7.17,1,1881.8,104,182.35
16384,11.4,268.44,204,1,2388.8,66,1877.91,33,7.18,1,1881.45,104,182.5
16384,11.4,268.44,204,2,2467.1,66,1878.45,33,7.18,1,1882.0,104,182.51
