id,input_len,output_len
0,64,5
1,64,15
2,64,30
3,64,45
4,64,60
5,130,10
6,130,30
7,130,60
8,130,90
9,130,120
10,260,20
11,260,60
12,260,120
13,260,180
14,260,240
15,520,40
16,520,120
17,520,240
18,520,360
19,520,480
20,1030,80
21,1030,240
22,1030,480
23,1030,720
24,1030,960
25,2050,160
26,2050,480
27,2050,960
28,2050,1440
29,2050,1950
30,4100,300
31,4100,900
32,4100,1800
33,4100,2800
34,4100,3950
35,64,500
36,64,2000
37,64,4000
38,130,1000
39,130,3000
40,260,1500
41,260,3500
42,520,3000
43,1030,4000
44,2050,3000
45,127,50
46,128,50
47,129,50
48,255,50
49,256,50
50,257,50
51,511,100
52,512,100
53,513,100
54,1023,200
55,1024,200
56,1025,200
57,2047,400
58,2048,400
59,2049,400
