supertask,seq,flops,wbytes,bytes,cfloor,mfloor,roofline,bound
Tokenwise,128,15569256448,121634816,124256256,7.78,124.26,124.26,memory
Attention,128,134217728,0,2621440,0.07,2.62,2.62,memory
Tokenwise,256,31138512896,121634816,126877696,15.57,126.88,126.88,memory
Attention,256,536870912,0,7340032,0.27,7.34,7.34,memory
Tokenwise,384,46707769344,121634816,129499136,23.35,129.5,129.5,memory
Attention,384,1207959552,0,14155776,0.6,14.16,14.16,memory
Tokenwise,512,62277025792,121634816,132120576,31.14,132.12,132.12,memory
Attention,512,2147483648,0,23068672,1.07,23.07,23.07,memory
Tokenwise,1024,124554051584,121634816,142606336,62.28,142.61,142.61,memory
Attention,1024,8589934592,0,79691776,4.29,79.69,79.69,memory
